time, nusers, response_time, n_servers, global_load_avg, global_mem_util, avg_num_apps_per_server, entertainment_cpu, entertainment_mem, noverloadedservers, ndeferredsessions, nrejectedsessions, nabortedsessions, weighted_avg_CPU, weighted_avg_MEM, ac_w 
     20.0, 5,     0.026, 1,    0.0486,    0.0394, 4,    0.0000,    0.0000, 0, 0, 0, 0,    0.1435,    0.0370, 0.1000 
     40.0, 10,     0.027, 1,    0.0722,    0.0789, 9,    0.0000,    0.0000, 0, 0, 0, 0,    0.0859,    0.0598, 0.1000 
     60.0, 15,     0.035, 1,    0.1111,    0.1220, 14,    0.0000,    0.0000, 0, 0, 0, 0,    0.0686,    0.0656, 0.1000 
     80.0, 20,     0.041, 2,    0.1446,    0.1016, 13,    0.0000,    0.0000, 0, 0, 0, 0,    0.1795,    0.1454, 0.1000 
    100.0, 25,     0.032, 2,    0.1441,    0.1177, 14,    0.0000,    0.0000, 0, 0, 0, 0,    0.1559,    0.1442, 0.1000 
    120.0, 30,     0.037, 2,    0.1634,    0.1398, 15,    0.0000,    0.0000, 0, 0, 0, 0,    0.1809,    0.1589, 0.1000 
    140.0, 35,     0.045, 2,    0.2557,    0.1650, 21,    0.0000,    0.0000, 0, 0, 0, 0,    0.2568,    0.1719, 0.1000 
    160.0, 40,     0.042, 2,    0.2806,    0.1955, 23,    0.0000,    0.0000, 0, 0, 0, 0,    0.3147,    0.2198, 0.1000 
    180.0, 45,     0.043, 2,    0.2943,    0.2141, 24,    0.0000,    0.0000, 0, 0, 0, 0,    0.3170,    0.2352, 0.1000 
    200.0, 50,     0.045, 2,    0.3287,    0.2375, 26,    0.0000,    0.0000, 0, 0, 0, 0,    0.3338,    0.2579, 0.1000 
    220.0, 55,     0.054, 2,    0.3688,    0.2638, 27,    0.0000,    0.0000, 0, 0, 0, 0,    0.3800,    0.2813, 0.1000 
    240.0, 60,     0.055, 2,    0.3882,    0.2864, 29,    0.0000,    0.0000, 0, 0, 0, 0,    0.4104,    0.3074, 0.1000 
    260.0, 65,     0.052, 2,    0.4623,    0.3113, 31,    0.0000,    0.0000, 0, 0, 0, 0,    0.5003,    0.3258, 0.1000 
    280.0, 70,     0.060, 2,    0.4976,    0.3336, 32,    0.0000,    0.0000, 0, 0, 0, 0,    0.5238,    0.3554, 0.1000 
    300.0, 75,     0.052, 2,    0.5046,    0.3564, 34,    0.0000,    0.0000, 0, 0, 0, 0,    0.5253,    0.3736, 0.1000 
    320.0, 80,     0.058, 2,    0.5413,    0.3796, 35,    0.0000,    0.0000, 0, 0, 0, 0,    0.5745,    0.3991, 0.1000 
    340.0, 85,     0.073, 2,    0.5721,    0.4008, 35,    0.0000,    0.0000, 0, 0, 0, 0,    0.6030,    0.4171, 0.1000 
    360.0, 90,     0.071, 2,    0.5920,    0.4208, 35,    0.0000,    0.0000, 0, 0, 0, 0,    0.6014,    0.4380, 0.1000 
    380.0, 95,     0.096, 2,    0.7256,    0.4430, 35,    0.0000,    0.0000, 0, 0, 0, 0,    0.7069,    0.4379, 0.1000 
    400.0, 100,     0.090, 2,    0.7275,    0.4617, 36,    0.0000,    0.0000, 0, 0, 0, 0,    0.6901,    0.4386, 0.1000 
    420.0, 105,     0.127, 2,    0.7364,    0.4845, 36,    0.0000,    0.0000, 0, 0, 0, 0,    0.6783,    0.4459, 0.1000 
    440.0, 110,     0.084, 3,    0.5150,    0.3608, 35,    0.0000,    0.0000, 0, 0, 0, 0,    0.5629,    0.3988, 0.1000 
    460.0, 115,     0.092, 3,    0.5105,    0.3709, 36,    0.0000,    0.0000, 0, 0, 0, 0,    0.5303,    0.3924, 0.1000 
    480.0, 120,     0.099, 3,    0.5379,    0.3865, 36,    0.0000,    0.0000, 0, 0, 0, 0,    0.5435,    0.4001, 0.1000 
    500.0, 125,     0.101, 3,    0.5793,    0.3981, 36,    0.0010,    0.0045, 0, 1, 0, 0,    0.5796,    0.3968, 1.0000 
    520.0, 130,     0.087, 3,    0.5844,    0.4140, 36,    0.0001,    0.0045, 0, 0, 0, 0,    0.5863,    0.4133, 0.9200 
    540.0, 135,     0.093, 3,    0.6060,    0.4236, 36,    0.0001,    0.0045, 0, 0, 0, 0,    0.6051,    0.4204, 0.8400 
    560.0, 140,     0.092, 4,    0.4997,    0.3543, 37,    0.0001,    0.0045, 0, 0, 0, 0,    0.5173,    0.3743, 0.5900 
    580.0, 145,     0.073, 4,    0.4991,    0.3582, 37,    0.0001,    0.0045, 0, 0, 0, 0,    0.5017,    0.3702, 0.3400 
    600.0, 150,     0.068, 4,    0.5132,    0.3692, 37,    0.0001,    0.0045, 0, 0, 0, 0,    0.5199,    0.3780, 0.1000 
    620.0, 155,     0.083, 4,    0.5690,    0.3801, 38,    0.0001,    0.0045, 0, 0, 0, 0,    0.6299,    0.3888, 0.1000 
    640.0, 160,     0.075, 4,    0.5629,    0.3922, 39,    0.0001,    0.0045, 0, 0, 0, 0,    0.5659,    0.4028, 0.1000 
    660.0, 165,     0.078, 4,    0.5702,    0.4031, 39,    0.0001,    0.0045, 0, 0, 0, 0,    0.5761,    0.4132, 0.1000 
    680.0, 170,     0.088, 4,    0.6169,    0.4150, 39,    0.0001,    0.0045, 0, 0, 0, 0,    0.6585,    0.4262, 0.1000 
    700.0, 175,     0.085, 4,    0.6247,    0.4233, 39,    0.0001,    0.0045, 0, 0, 0, 0,    0.6366,    0.4441, 0.1000 
    720.0, 180,     0.071, 4,    0.6261,    0.4327, 39,    0.0001,    0.0045, 0, 0, 0, 0,    0.6330,    0.4423, 0.1000 
    740.0, 185,     0.068, 4,    0.6357,    0.4442, 39,    0.0001,    0.0045, 0, 0, 0, 0,    0.6498,    0.4722, 0.1000 
    760.0, 190,     0.067, 4,    0.6393,    0.4536, 39,    0.0001,    0.0045, 0, 0, 0, 0,    0.6464,    0.4810, 0.1000 
    780.0, 195,     0.084, 4,    0.6537,    0.4644, 41,    0.0001,    0.0045, 0, 0, 0, 0,    0.6545,    0.4700, 0.1000 
    800.0, 200,     0.103, 4,    0.7191,    0.4812, 44,    0.0001,    0.0045, 0, 0, 0, 0,    0.8077,    0.4949, 0.1000 
    820.0, 205,     0.105, 4,    0.7185,    0.4935, 44,    0.0001,    0.0045, 0, 0, 0, 0,    0.7335,    0.5072, 0.1000 
    840.0, 210,     0.090, 4,    0.7216,    0.5017, 44,    0.0001,    0.0045, 0, 0, 0, 0,    0.7276,    0.5116, 0.1000 
    860.0, 215,     0.089, 4,    0.7364,    0.5129, 44,    0.0001,    0.0045, 0, 0, 0, 0,    0.7589,    0.5414, 0.1000 
    880.0, 220,     0.110, 4,    0.7488,    0.5228, 44,    0.0001,    0.0045, 0, 0, 0, 0,    0.7632,    0.5340, 0.1000 
    900.0, 225,     0.130, 4,    0.7725,    0.5328, 44,    0.0001,    0.0045, 0, 0, 0, 0,    0.7959,    0.5401, 0.1000 
    920.0, 230,     0.123, 4,    0.8032,    0.5454, 44,    0.0001,    0.0045, 0, 0, 0, 0,    0.7966,    0.5401, 0.1000 
    940.0, 235,     0.136, 4,    0.7959,    0.5515, 44,    0.0001,    0.0041, 0, 1, 0, 0,    0.7960,    0.5482, 0.9400 
    960.0, 240,     0.160, 4,    0.8116,    0.5530, 44,    0.0020,    0.0041, 0, 1, 0, 0,    0.8112,    0.5528, 1.0000 
    980.0, 245,     0.135, 5,    0.6668,    0.4787, 44,    0.0020,    0.0041, 0, 0, 0, 0,    0.6795,    0.4862, 0.6500 
   1000.0, 250,     0.136, 5,    0.6900,    0.4853, 44,    0.0020,    0.0041, 0, 0, 0, 0,    0.6932,    0.4938, 0.3700 
   1020.0, 255,     0.116, 5,    0.6968,    0.4939, 44,    0.0020,    0.0041, 0, 0, 0, 0,    0.7051,    0.5020, 0.1000 
   1040.0, 260,     0.121, 5,    0.7424,    0.4998, 44,    0.0020,    0.0041, 0, 0, 0, 0,    0.7456,    0.5025, 0.1000 
   1060.0, 265,     0.099, 5,    0.7442,    0.5077, 44,    0.0020,    0.0041, 0, 0, 0, 0,    0.7581,    0.5028, 0.1000 
   1080.0, 270,     0.102, 5,    0.7463,    0.5160, 44,    0.0020,    0.0041, 0, 0, 0, 0,    0.7520,    0.5125, 0.1000 
   1100.0, 275,     0.105, 6,    0.6399,    0.4569, 44,    0.0020,    0.0041, 0, 0, 0, 0,    0.6699,    0.4701, 0.1000 
   1120.0, 280,     0.098, 6,    0.6538,    0.4615, 44,    0.0020,    0.0041, 0, 0, 0, 0,    0.6676,    0.4683, 0.1000 
   1140.0, 285,     0.101, 6,    0.6664,    0.4670, 44,    0.0020,    0.0041, 0, 0, 0, 0,    0.6760,    0.4721, 0.1000 
   1160.0, 290,     0.104, 6,    0.6686,    0.4736, 45,    0.0020,    0.0041, 0, 0, 0, 0,    0.6894,    0.4770, 0.1000 
   1180.0, 295,     0.111, 6,    0.6954,    0.4800, 46,    0.0020,    0.0041, 0, 0, 0, 0,    0.7220,    0.4881, 0.1000 
   1200.0, 300,     0.106, 6,    0.7017,    0.4890, 46,    0.0020,    0.0041, 0, 0, 0, 0,    0.7068,    0.4948, 0.1000 
   1220.0, 305,     0.106, 6,    0.7071,    0.4958, 46,    0.0020,    0.0041, 0, 0, 0, 0,    0.7302,    0.5028, 0.1000 
   1240.0, 310,     0.115, 6,    0.7377,    0.5029, 46,    0.0020,    0.0041, 0, 0, 0, 0,    0.7569,    0.5099, 0.1000 
   1260.0, 315,     0.107, 6,    0.7397,    0.5105, 47,    0.0020,    0.0041, 0, 0, 0, 0,    0.7431,    0.5207, 0.1000 
   1280.0, 320,     0.118, 6,    0.7540,    0.5190, 47,    0.0020,    0.0041, 0, 0, 0, 0,    0.7682,    0.5258, 0.1000 
   1300.0, 325,     0.127, 6,    0.7775,    0.5264, 47,    0.0020,    0.0041, 0, 0, 0, 0,    0.8171,    0.5341, 0.1000 
   1320.0, 330,     0.111, 6,    0.7785,    0.5318, 47,    0.0020,    0.0041, 0, 0, 0, 0,    0.7849,    0.5338, 0.1000 
   1340.0, 335,     0.105, 6,    0.7622,    0.5380, 47,    0.0020,    0.0041, 0, 0, 0, 0,    0.7349,    0.5389, 0.1000 
   1360.0, 340,     0.121, 7,    0.6590,    0.4674, 41,    0.0020,    0.0041, 0, 0, 0, 0,    0.7570,    0.5433, 0.1000 
   1380.0, 345,     0.130, 7,    0.6673,    0.4750, 41,    0.0020,    0.0041, 0, 0, 0, 0,    0.6632,    0.4756, 0.1000 
   1400.0, 350,     0.127, 7,    0.6982,    0.4801, 41,    0.0020,    0.0041, 0, 0, 0, 0,    0.6997,    0.4639, 0.1000 
   1420.0, 355,     0.123, 8,    0.6117,    0.4248, 42,    0.0020,    0.0041, 0, 0, 0, 0,    0.6100,    0.4201, 0.1000 
   1440.0, 360,     0.144, 8,    0.6212,    0.4580, 49,    0.0020,    0.0041, 0, 0, 0, 0,    0.6264,    0.4856, 0.1000 
   1460.0, 365,     0.133, 8,    0.6349,    0.4624, 49,    0.0020,    0.0041, 0, 0, 0, 0,    0.6399,    0.4724, 0.1000 
   1480.0, 370,     0.104, 8,    0.6284,    0.4663, 49,    0.0020,    0.0041, 0, 0, 0, 0,    0.6268,    0.4720, 0.1000 
   1500.0, 375,     0.117, 8,    0.6322,    0.4715, 49,    0.0020,    0.0041, 0, 0, 0, 0,    0.6352,    0.4770, 0.1000 
   1520.0, 380,     0.119, 8,    0.6758,    0.4758, 49,    0.0020,    0.0041, 0, 0, 0, 0,    0.6998,    0.4852, 0.1000 
   1540.0, 385,     0.105, 8,    0.6718,    0.4812, 49,    0.0020,    0.0041, 0, 0, 0, 0,    0.6793,    0.4856, 0.1000 
   1560.0, 390,     0.117, 8,    0.6787,    0.4871, 49,    0.0020,    0.0041, 0, 0, 0, 0,    0.6833,    0.4922, 0.1000 
   1580.0, 395,     0.095, 8,    0.6780,    0.4921, 49,    0.0020,    0.0041, 0, 0, 0, 0,    0.6900,    0.4965, 0.1000 
   1600.0, 400,     0.110, 8,    0.6880,    0.4978, 49,    0.0020,    0.0041, 0, 0, 0, 0,    0.7039,    0.5039, 0.1000 
   1620.0, 405,     0.104, 8,    0.7019,    0.5015, 50,    0.0020,    0.0041, 0, 0, 0, 0,    0.7128,    0.5092, 0.1000 
