time, nusers, response_time, n_servers, global_load_avg, global_mem_util, avg_num_apps_per_server, weighted_avg_CPU, weighted_avg_MEM, cramp_w_CPU, cramp_w_MEM, avg_CPU_prediction_error, avg_MEM_prediction_error 
     10.0, 2,     9.889, 1,    0.0088,    0.0108, 2,    0.6845,    0.2306,    0.0000,    0.0000,    0.0000,    0.0000 
     20.0, 4,     9.933, 1,    0.0126,    0.0278, 4,    0.6845,    0.2306,    0.0000,    0.0000,    0.0000,    0.0000 
     30.0, 6,     9.734, 1,    0.0174,    0.0433, 5,    0.6845,    0.2306,    0.0000,    0.0000,    0.0000,    0.0000 
     40.0, 8,    13.553, 1,    0.0254,    0.0602, 8,    0.6845,    0.2306,    0.0000,    0.0000,    0.0000,    0.0000 
     50.0, 10,    11.615, 1,    0.0295,    0.0791, 9,    0.6845,    0.2306,    0.0000,    0.0000,    0.0000,    0.0000 
     60.0, 12,     9.979, 1,    0.0333,    0.0965, 11,    0.6845,    0.2306,    0.0000,    0.0000,    0.0000,    0.0000 
     70.0, 14,    11.578, 2,    0.0191,    0.0581, 5,    0.0315,    0.0917,    0.0000,    0.0000,    0.0000,    0.0000 
     80.0, 16,    11.785, 2,    0.0278,    0.0646, 6,    0.0323,    0.0924,    0.0000,    0.0000,    0.0000,    0.0000 
     90.0, 18,    12.795, 2,    0.0327,    0.0746, 7,    0.0423,    0.1138,    0.0000,    0.0000,    0.0000,    0.0000 
    100.0, 20,    11.630, 2,    0.0348,    0.0782, 7,    0.0476,    0.1222,    0.0000,    0.0000,    0.0000,    0.0000 
    110.0, 22,    12.130, 2,    0.0374,    0.0888, 9,    0.0524,    0.1296,    0.0000,    0.0000,    0.0000,    0.0000 
    120.0, 24,    11.019, 2,    0.0374,    0.0987, 10,    0.0609,    0.1296,    0.0000,    0.0000,    0.0000,    0.0000 
    130.0, 26,    10.283, 2,    0.0692,    0.1090, 11,    0.0906,    0.1460,    0.1803,    0.0921,    0.1803,    0.0921 
    140.0, 28,     8.405, 2,    0.0585,    0.1158, 11,    0.0987,    0.1507,    0.1334,    0.0899,    0.1334,    0.0899 
    150.0, 30,    10.900, 2,    0.0632,    0.1262, 12,    0.1106,    0.1728,    0.0349,    0.0856,    0.0349,    0.0856 
    160.0, 32,     9.627, 2,    0.0664,    0.1327, 13,    0.1094,    0.1807,    0.0262,    0.0938,    0.0262,    0.0938 
    170.0, 34,    10.470, 2,    0.0687,    0.1374, 13,    0.0961,    0.1831,    0.0235,    0.0975,    0.0235,    0.0975 
    180.0, 36,    11.156, 2,    0.0687,    0.1450, 13,    0.0743,    0.1847,    0.0225,    0.0910,    0.0225,    0.0910 
    190.0, 38,    11.874, 2,    0.1082,    0.1552, 15,    0.0917,    0.1876,    0.0222,    0.0711,    0.0222,    0.0711 
    200.0, 40,     9.998, 2,    0.0923,    0.1639, 16,    0.1263,    0.1982,    0.0185,    0.0456,    0.0185,    0.0456 
    210.0, 42,    12.116, 2,    0.0995,    0.1740, 17,    0.1412,    0.2137,    0.0161,    0.0273,    0.0161,    0.0273 
    220.0, 44,    10.279, 2,    0.1003,    0.1812, 18,    0.1464,    0.2275,    0.0138,    0.0361,    0.0138,    0.0361 
    230.0, 46,    10.632, 2,    0.0993,    0.1912, 18,    0.1407,    0.2411,    0.0132,    0.0379,    0.0132,    0.0379 
    240.0, 48,    10.425, 2,    0.0993,    0.1964, 18,    0.1249,    0.2502,    0.0149,    0.0326,    0.0149,    0.0326 
    250.0, 50,    12.396, 2,    0.1410,    0.2079, 20,    0.1395,    0.2531,    0.0414,    0.0284,    0.0414,    0.0284 
    260.0, 52,    12.967, 2,    0.1428,    0.2142, 21,    0.1767,    0.2532,    0.0458,    0.0286,    0.0458,    0.0286 
    270.0, 54,    10.810, 2,    0.1377,    0.2224, 20,    0.1886,    0.2533,    0.0456,    0.0292,    0.0456,    0.0292 
    280.0, 56,    11.894, 2,    0.1377,    0.2271, 21,    0.1837,    0.2504,    0.0231,    0.0235,    0.0231,    0.0235 
    290.0, 58,    12.192, 2,    0.1398,    0.2327, 21,    0.1672,    0.2473,    0.0142,    0.0160,    0.0142,    0.0160 
    300.0, 60,    12.135, 2,    0.1398,    0.2474, 22,    0.1482,    0.2488,    0.0133,    0.0114,    0.0133,    0.0114 
    310.0, 62,    11.610, 2,    0.1617,    0.2514, 22,    0.1429,    0.2494,    0.0239,    0.0238,    0.0239,    0.0238 
    320.0, 64,    12.307, 2,    0.1534,    0.2522, 22,    0.1629,    0.2913,    0.0252,    0.0329,    0.0252,    0.0329 
