time, nusers, response_time, n_servers, global_load_avg, global_mem_util, avg_num_apps_per_server, noverloadedservers, nrejectedsessions, nabortedsessions, weighted_avg_CPU, weighted_avg_MEM, ac_w 
     20.0, 5,     0.000, 1,    0.0000,    0.0000, 0, 0, 0, 0,    0.8000,    0.8000, 0.1000 
     40.0, 10,     0.044, 1,    0.1232,    0.0662, 4, 0, 0, 0,    0.7200,    0.7200, 0.1000 
     60.0, 15,     0.028, 1,    0.1017,    0.0626, 10, 0, 0, 0,    0.6582,    0.6543, 0.1000 
     80.0, 20,     0.034, 2,    0.0911,    0.0696, 7, 0, 0, 0,    0.1859,    0.1644, 0.1000 
    100.0, 25,     0.037, 2,    0.1627,    0.1080, 9, 0, 0, 0,    0.1528,    0.1038, 0.1000 
    120.0, 30,     0.033, 2,    0.1534,    0.1118, 11, 0, 0, 0,    0.1505,    0.1114, 0.1000 
    140.0, 35,     0.034, 2,    0.1895,    0.1395, 13, 0, 0, 0,    0.1744,    0.1362, 0.1000 
    160.0, 40,     0.039, 2,    0.2125,    0.1617, 15, 0, 0, 0,    0.1977,    0.1486, 0.1000 
    180.0, 45,     0.037, 2,    0.2250,    0.1779, 16, 0, 0, 0,    0.2200,    0.1749, 0.1000 
    200.0, 50,     0.041, 2,    0.3030,    0.2145, 18, 0, 0, 0,    0.2962,    0.2096, 0.1000 
    220.0, 55,     0.047, 2,    0.3324,    0.2322, 22, 0, 0, 0,    0.3184,    0.2232, 0.1000 
    240.0, 60,     0.047, 2,    0.3464,    0.2422, 23, 0, 0, 0,    0.3404,    0.2407, 0.1000 
    260.0, 65,     0.048, 2,    0.4159,    0.2841, 24, 0, 0, 0,    0.4104,    0.2793, 0.1000 
    280.0, 70,     0.055, 2,    0.4273,    0.3073, 26, 0, 0, 0,    0.4107,    0.2938, 0.1000 
    300.0, 75,     0.054, 2,    0.4395,    0.3244, 27, 0, 0, 0,    0.4357,    0.3218, 0.1000 
    320.0, 80,     0.081, 2,    0.5620,    0.3569, 29, 0, 0, 0,    0.5591,    0.3536, 0.1000 
    340.0, 85,     0.057, 2,    0.5515,    0.3738, 32, 0, 0, 0,    0.5529,    0.3646, 0.1000 
    360.0, 90,     0.058, 2,    0.5551,    0.3912, 32, 0, 0, 0,    0.5544,    0.3878, 0.1000 
    380.0, 95,     0.077, 2,    0.6404,    0.4225, 32, 0, 0, 0,    0.6121,    0.4189, 0.1000 
    400.0, 100,     0.090, 2,    0.6603,    0.4450, 36, 0, 0, 0,    0.6441,    0.4323, 0.1000 
    420.0, 105,     0.081, 2,    0.6706,    0.4610, 36, 0, 0, 0,    0.6645,    0.4593, 0.1000 
    440.0, 110,     0.090, 2,    0.6945,    0.4918, 36, 0, 0, 0,    0.6800,    0.4881, 0.1000 
