time, nusers, response_time, n_servers, global_load_avg, global_mem_util, avg_num_apps_per_server, noverloadedservers, nrejectedsessions, nabortedsessions, weighted_avg_CPU, weighted_avg_MEM, ac_w 
     20.0, 5,     0.000, 1,    0.0000,    0.0000, 0, 0, 0, 0,    0.8000,    0.8000, 0.1000 
     40.0, 10,     0.035, 1,    0.1121,    0.0800, 7, 0, 0, 0,    0.7200,    0.7200, 0.1000 
     60.0, 15,     0.035, 1,    0.1198,    0.0787, 12, 0, 0, 0,    0.6600,    0.6559, 0.1000 
     80.0, 20,     0.039, 2,    0.1239,    0.0721, 9, 0, 0, 0,    0.2162,    0.1665, 0.1000 
    100.0, 25,     0.041, 2,    0.1890,    0.1193, 13, 0, 0, 0,    0.1929,    0.1134, 0.1000 
    120.0, 30,     0.034, 2,    0.1881,    0.1187, 15, 0, 0, 0,    0.1899,    0.1183, 0.1000 
    140.0, 35,     0.042, 2,    0.2395,    0.1574, 19, 0, 0, 0,    0.2584,    0.1532, 0.1000 
    160.0, 40,     0.045, 2,    0.2439,    0.1752, 21, 0, 0, 0,    0.2421,    0.1638, 0.1000 
    180.0, 45,     0.042, 2,    0.2549,    0.1863, 23, 0, 0, 0,    0.2517,    0.1839, 0.1000 
    200.0, 50,     0.044, 2,    0.3366,    0.2244, 24, 0, 0, 0,    0.3300,    0.2194, 0.1000 
    220.0, 55,     0.050, 2,    0.3472,    0.2429, 26, 0, 0, 0,    0.3354,    0.2317, 0.1000 
    240.0, 60,     0.051, 2,    0.3666,    0.2552, 27, 0, 0, 0,    0.3585,    0.2538, 0.1000 
    260.0, 65,     0.050, 2,    0.4533,    0.2961, 28, 0, 0, 0,    0.4286,    0.2903, 0.1000 
    280.0, 70,     0.049, 2,    0.4594,    0.3128, 30, 0, 0, 0,    0.4507,    0.3027, 0.1000 
    300.0, 75,     0.045, 2,    0.4487,    0.3281, 31, 0, 0, 0,    0.4491,    0.3262, 0.1000 
    320.0, 80,     0.059, 2,    0.5235,    0.3618, 31, 0, 0, 0,    0.5146,    0.3586, 0.1000 
    340.0, 85,     0.058, 2,    0.5318,    0.3774, 31, 0, 0, 0,    0.5251,    0.3672, 0.1000 
    360.0, 90,     0.065, 2,    0.5418,    0.3925, 32, 0, 0, 0,    0.5379,    0.3902, 0.1000 
    380.0, 95,     0.074, 2,    0.6575,    0.4217, 32, 0, 0, 0,    0.5578,    0.3933, 0.1000 
    400.0, 100,     0.087, 2,    0.6648,    0.4433, 33, 0, 0, 0,    0.5678,    0.3960, 0.1000 
    420.0, 105,     0.100, 2,    0.6959,    0.4600, 33, 0, 0, 0,    0.5806,    0.4024, 0.1000 
    440.0, 110,     0.094, 3,    0.5079,    0.3222, 33, 0, 0, 0,    0.5268,    0.3551, 0.1000 
    460.0, 115,     0.115, 3,    0.5800,    0.3707, 33, 0, 0, 0,    0.5634,    0.3565, 0.1000 
    480.0, 120,     0.107, 3,    0.5681,    0.3630, 34, 0, 0, 0,    0.5710,    0.3637, 0.1000 
    500.0, 125,     0.085, 3,    0.5652,    0.3841, 34, 0, 0, 0,    0.5681,    0.3826, 0.1000 
    520.0, 130,     0.064, 3,    0.5621,    0.4004, 34, 0, 0, 0,    0.5590,    0.3920, 0.1000 
    540.0, 135,     0.073, 3,    0.5809,    0.4075, 34, 0, 0, 0,    0.5757,    0.4067, 0.1000 
    560.0, 140,     0.078, 3,    0.6625,    0.4235, 34, 0, 0, 0,    0.6527,    0.4231, 0.1000 
    580.0, 145,     0.065, 3,    0.6306,    0.4422, 36, 0, 0, 0,    0.6350,    0.4342, 0.1000 
    600.0, 150,     0.075, 3,    0.6395,    0.4489, 37, 0, 0, 0,    0.6368,    0.4489, 0.1000 
    620.0, 155,     0.079, 3,    0.6749,    0.4708, 37, 0, 0, 0,    0.6835,    0.4700, 0.1000 
    640.0, 160,     0.089, 3,    0.6838,    0.4792, 38, 0, 0, 0,    0.6773,    0.4707, 0.1000 
    660.0, 165,     0.090, 3,    0.6893,    0.4885, 38, 0, 0, 0,    0.6873,    0.4866, 0.1000 
    680.0, 170,     0.138, 3,    0.7962,    0.5182, 38, 0, 0, 0,    0.7085,    0.4894, 0.1000 
    700.0, 175,     0.129, 3,    0.7880,    0.5300, 39, 0, 0, 0,    0.7165,    0.4923, 0.1000 
    720.0, 180,     0.142, 3,    0.8010,    0.5354, 39, 0, 0, 0,    0.7249,    0.4966, 0.1000 
    740.0, 185,     0.135, 4,    0.6416,    0.4200, 40, 0, 0, 0,    0.6886,    0.5137, 0.1000 
    760.0, 190,     0.107, 4,    0.6676,    0.4588, 40, 0, 0, 0,    0.6825,    0.5036, 0.1000 
