time, nusers, response_time, n_servers, global_load_avg, global_mem_util, avg_num_apps_per_server, entertainment_cpu, entertainment_mem, noverloadedservers, ndeferredsessions, nrejectedsessions, nabortedsessions, weighted_avg_CPU, weighted_avg_MEM, ac_w 
     20.0, 5,     0.020, 1,    0.0336,    0.0395, 5,    0.0000,    0.0000, 0, 0, 0, 0,    0.0259,    0.0250, 0.1000 
     40.0, 10,     0.033, 1,    0.0895,    0.0790, 10,    0.0000,    0.0000, 0, 0, 0, 0,    0.0539,    0.0539, 0.1000 
     60.0, 15,     0.042, 1,    0.1214,    0.1203, 12,    0.0000,    0.0000, 0, 0, 0, 0,    0.0619,    0.0629, 0.1000 
     80.0, 20,     0.028, 2,    0.1097,    0.0968, 11,    0.0000,    0.0000, 0, 0, 0, 0,    0.1351,    0.1372, 0.1000 
    100.0, 25,     0.042, 2,    0.1462,    0.1151, 13,    0.0000,    0.0000, 0, 0, 0, 0,    0.1694,    0.1407, 0.1000 
    120.0, 30,     0.031, 2,    0.1592,    0.1377, 14,    0.0000,    0.0000, 0, 0, 0, 0,    0.1786,    0.1606, 0.1000 
    140.0, 35,     0.032, 2,    0.2149,    0.1644, 18,    0.0000,    0.0000, 0, 0, 0, 0,    0.2357,    0.1738, 0.1000 
    160.0, 40,     0.037, 2,    0.2366,    0.1886, 21,    0.0000,    0.0000, 0, 0, 0, 0,    0.2536,    0.2073, 0.1000 
    180.0, 45,     0.044, 2,    0.2640,    0.2116, 23,    0.0000,    0.0000, 0, 0, 0, 0,    0.2869,    0.2271, 0.1000 
    200.0, 50,     0.044, 2,    0.3237,    0.2404, 26,    0.0000,    0.0000, 0, 0, 0, 0,    0.3791,    0.2590, 0.1000 
    220.0, 55,     0.046, 2,    0.3559,    0.2650, 27,    0.0000,    0.0000, 0, 0, 0, 0,    0.3898,    0.2880, 0.1000 
    240.0, 60,     0.058, 2,    0.3946,    0.2848, 27,    0.0000,    0.0000, 0, 0, 0, 0,    0.4245,    0.2992, 0.1000 
    260.0, 65,     0.049, 2,    0.4358,    0.3072, 27,    0.0000,    0.0000, 0, 0, 0, 0,    0.4772,    0.3228, 0.1000 
    280.0, 70,     0.050, 2,    0.4560,    0.3250, 28,    0.0000,    0.0000, 0, 0, 0, 0,    0.4588,    0.3426, 0.1000 
    300.0, 75,     0.065, 2,    0.4932,    0.3488, 31,    0.0000,    0.0000, 0, 0, 0, 0,    0.5197,    0.3692, 0.1000 
    320.0, 80,     0.063, 2,    0.5631,    0.3733, 32,    0.0000,    0.0000, 0, 0, 0, 0,    0.6331,    0.3934, 0.1000 
    340.0, 85,     0.062, 2,    0.5722,    0.3935, 32,    0.0000,    0.0000, 0, 0, 0, 0,    0.5780,    0.4134, 0.1000 
    360.0, 90,     0.068, 2,    0.5866,    0.4161, 32,    0.0000,    0.0000, 0, 0, 0, 0,    0.5990,    0.4332, 0.1000 
    380.0, 95,     0.089, 2,    0.6803,    0.4378, 33,    0.0000,    0.0000, 0, 0, 0, 0,    0.7937,    0.4576, 0.1000 
    400.0, 100,     0.080, 2,    0.6867,    0.4581, 34,    0.0000,    0.0000, 0, 0, 0, 0,    0.6752,    0.4427, 0.1000 
    420.0, 105,     0.092, 2,    0.6958,    0.4748, 35,    0.0000,    0.0000, 0, 0, 0, 0,    0.6638,    0.4443, 0.1000 
    440.0, 110,     0.089, 3,    0.5038,    0.3591, 35,    0.0000,    0.0000, 0, 0, 0, 0,    0.4816,    0.3356, 0.1000 
    460.0, 115,     0.124, 3,    0.5312,    0.3746, 36,    0.0000,    0.0000, 0, 0, 0, 0,    0.5617,    0.3982, 0.1000 
    480.0, 120,     0.109, 3,    0.5584,    0.3853, 36,    0.0000,    0.0000, 0, 0, 0, 0,    0.5765,    0.4006, 0.1000 
    500.0, 125,     0.082, 3,    0.5626,    0.4010, 36,    0.0000,    0.0000, 0, 0, 0, 0,    0.6056,    0.4174, 0.1000 
    520.0, 130,     0.085, 3,    0.5638,    0.4140, 37,    0.0000,    0.0000, 0, 0, 0, 0,    0.5649,    0.4203, 0.1000 
    540.0, 135,     0.079, 3,    0.5830,    0.4279, 37,    0.0000,    0.0000, 0, 0, 0, 0,    0.5933,    0.4398, 0.1000 
    560.0, 140,     0.081, 3,    0.6396,    0.4415, 38,    0.0015,    0.0035, 0, 1, 0, 0,    0.6390,    0.4425, 0.9300 
    580.0, 145,     0.082, 3,    0.6476,    0.4574, 40,    0.0003,    0.0035, 0, 0, 0, 0,    0.6545,    0.4634, 0.6500 
    600.0, 150,     0.102, 3,    0.6806,    0.4760, 40,    0.0002,    0.0035, 0, 0, 0, 0,    0.6918,    0.4866, 0.3900 
    620.0, 155,     0.092, 3,    0.7313,    0.4888, 41,    0.0002,    0.0035, 0, 0, 0, 0,    0.7420,    0.4911, 0.2900 
    640.0, 160,     0.099, 3,    0.7446,    0.5006, 41,    0.0002,    0.0035, 0, 0, 0, 0,    0.7483,    0.4529, 0.2200 
    660.0, 165,     0.105, 3,    0.7562,    0.5185, 41,    0.0002,    0.0035, 0, 0, 0, 0,    0.7371,    0.4885, 0.1500 
    680.0, 170,     0.116, 4,    0.5949,    0.4200, 41,    0.0002,    0.0035, 0, 0, 0, 0,    0.6480,    0.4540, 0.1000 
    700.0, 175,     0.101, 4,    0.6078,    0.4296, 41,    0.0002,    0.0035, 0, 0, 0, 0,    0.6027,    0.4258, 0.1000 
    720.0, 180,     0.097, 4,    0.6230,    0.4357, 41,    0.0002,    0.0035, 0, 0, 0, 0,    0.6054,    0.4261, 0.1000 
    740.0, 185,     0.112, 5,    0.5142,    0.3594, 41,    0.0002,    0.0035, 0, 0, 0, 0,    0.5050,    0.3525, 0.1000 
    760.0, 190,     0.097, 5,    0.5146,    0.3866, 42,    0.0002,    0.0035, 0, 0, 0, 0,    0.5138,    0.4154, 0.1000 
    780.0, 195,     0.085, 5,    0.5338,    0.3935, 42,    0.0002,    0.0035, 0, 0, 0, 0,    0.5385,    0.3996, 0.1000 
    800.0, 200,     0.081, 5,    0.5440,    0.4021, 42,    0.0002,    0.0035, 0, 0, 0, 0,    0.5712,    0.4110, 0.1000 
    820.0, 205,     0.097, 5,    0.5558,    0.4062, 42,    0.0002,    0.0035, 0, 0, 0, 0,    0.5684,    0.4112, 0.1000 
    840.0, 210,     0.105, 5,    0.5743,    0.4176, 42,    0.0002,    0.0035, 0, 0, 0, 0,    0.5854,    0.4256, 0.1000 
    860.0, 215,     0.079, 5,    0.6088,    0.4254, 42,    0.0002,    0.0035, 0, 0, 0, 0,    0.6578,    0.4319, 0.1000 
