# time nusers response_time n_servers global_load_avg global_mem_util avg_num_apps_per_server
     10.0 2     9.889 1    0.0088    0.0108 2
     20.0 4     9.933 1    0.0126    0.0278 4
     30.0 6     9.734 1    0.0174    0.0433 5
     40.0 8    13.553 1    0.0271    0.0602 8
     50.0 10    11.615 1    0.0316    0.0791 9
     60.0 12     9.979 1    0.0358    0.0965 11
     70.0 14    11.578 2    0.0210    0.0581 5
     80.0 16    11.785 2    0.0300    0.0646 6
     90.0 18    12.795 2    0.0352    0.0746 7
    100.0 20    11.630 2    0.0374    0.0782 7
    110.0 22    12.130 2    0.0405    0.0888 9
    120.0 24    11.019 2    0.0405    0.0987 10
    130.0 26    10.283 2    0.0725    0.1090 11
    140.0 28     8.405 2    0.0615    0.1158 11
    150.0 30    10.900 2    0.0665    0.1262 12
    160.0 32     9.627 2    0.0693    0.1327 13
    170.0 34    10.470 2    0.0722    0.1374 13
    180.0 36    11.156 2    0.0722    0.1450 13
    190.0 38    11.874 2    0.1126    0.1552 15
    200.0 40    11.006 2    0.1030    0.1638 16
    210.0 42    11.400 2    0.1067    0.1718 16
    220.0 44    10.259 2    0.1082    0.1788 16
    230.0 46    12.508 2    0.1149    0.1853 16
    240.0 48    11.568 2    0.1149    0.1937 17
    250.0 50    11.663 2    0.1421    0.1977 17
    260.0 52    11.899 2    0.1403    0.2012 18
    270.0 54    11.340 2    0.1450    0.2144 18
    280.0 56    14.572 2    0.1576    0.2164 18
    290.0 58    10.954 2    0.1570    0.2296 19
    300.0 60    11.470 2    0.1570    0.2327 19
    310.0 62    11.972 2    0.1804    0.2465 21
    320.0 64    12.500 2    0.1768    0.2503 20
    330.0 66    11.466 2    0.1847    0.2537 20
    340.0 68    14.725 2    0.2020    0.2674 21
    350.0 70    11.438 2    0.1966    0.2691 22
    360.0 72    13.822 2    0.1966    0.2811 22
    370.0 74    12.186 2    0.2014    0.2902 25
    380.0 76    12.121 2    0.2040    0.3047 26
    390.0 78    12.158 2    0.2111    0.3112 26
    400.0 80    13.648 2    0.2244    0.3156 26
    410.0 82    12.573 2    0.2300    0.3225 26
